die	Pistole/ -n	the gun, pistol
die	Brücke/ -n	the bridge
der	Knast/ -"e	the jail, the slammer (colloquial)
der	Quatsch	the nonsense (no plural) ('Q_')
der	Unterschied/ -e	the difference
das	Tor/ -e	the gate
der	Glückwunsch/ -"e	the best wishes
der	Soldat/ -en	the soldier
der	Baum/ -"e	the tree
das	System/ -e	the system
der	Club/ -s	the club (..., 'Klub', 'Verein')
das	Lächeln/ -	the smile
das	Abendessen/ -	the supper ('Abendbrot' or ...)
die	Flasche/ -n	the bottle
das	Rauchen	the smoking (no plural)
der	Vogel/ -"	the bird
das	Dach/ -"er	the roof
der	Lehrer/ -	the teacher
die	Katze/ -n	the cat
das	Tier/ -e	the animal
das	Gehirn/ -e	the brain
das	Theater/ -	the theatre
der	Erfolg/ -e	the success
der	Fluss/ -"e	the river
die	City	the city, downtown (no plural)
der	Haufen/ -	the pile
die	Wand/ -"e	the wall (Mauer, or ...)
der	Grad/ -e	the degree (a unit of measure)
die	Natur/ -en	the nature, character, natural world
der	Angriff/ -e	the attack ('Überfall, Anschlag' or ...)
die	Möglichkeit/ -en	the possibility
die	Farbe/ -n	the color
die	Spur/ -en	the track/ the lane (in traffic)/ the trace (of sth.)
das	Frühstück/ -e	the breakfast
die	Runde/ -n	the lap (in sports)
das	Wochenende/ -n	the weekend
der	Untertitel/ -	the subtitle, subheading, subtitles, caption
der	Mond/ -e	the moon
die	Hose/ -n	the pants
der	Rock/ -"e	the skirt, rock (stone), rock music
der	Rock	the rock music (no plural)
das	Pfund/ -e	the pound (weight)
die	Braut/ -"e	the bride
die	Reihe/ -n	the row
die	Sprache/ -n	the language
das	Gespräch/ -e	the conversation (not 'U..', 'K..')
der	Flughafen/ -"	the airport
der	Wunsch/ -"e	the wish
der	Stein/ -e	the stone
die	Pause/ -n	the break, the intermission (Unterbrechung, or ...)
der	Nachmittag/ -e	the afternoon
der	Auftrag/ -"e	the order (commerce)/ the assignment
der	Regen/ -	the rain (no plural)
die	Lüge/ -n	the lie
die	Post/ -en	the mail, post (BR), post office
der	Schaden/ -"	the damage
der	Tanz/ -"e	the dance
der	Urlaub/ -e	the vacation (for working people)
die	Gelegenheit/ -en	the opportunity
die	Folge/ -n	the consequence ('Konsequenz' or ...)
die	Verantwortung/ -en	the responsibility (not '...keit')
das	Thema/ die Themen	the topic
der	Keller/ -	the cellar, the basement
die	Erfahrung/ -en	the experience (not 'erlebnis')
das	Schloss/ -"er	1. the lock. 2. the castle
das	Angebot/ -e	the offer
der	Anzug/ -"e	the suit (man's suit)
der	Strand/ -"e	the beach
das	Grab/ -"er	the grave
das	Restaurant/ -s	the restaurant ('R_')
der	Schatten/ -	the shade
der	Gang/ -"e	course, gear (transmission), aisle
das	Lager/ -	the warehouse
der	Sieg/ -e	the victory
die	Kugel/ -n	the ball, the scoop
die	Milch	the milk (no plural)
die	Gewalt	the violence (no plural)
die	Schönheit/ -en	the beauty
die	Pflicht/ -en	the duty
die	Kunst/ -"e	the art
der	Kuss/ -"e	the kiss
das	Knie/ -	the knee
der	Priester/ -	the priest
die	Form/ -en	the shape, the form ('Gestalt' or ...)
der	Kurs/ -e	1. the course. 2. the exchange rate
der	Großvater/ -"	the grandfather
der	Fahrer/ -	the male driver
die	Million/ -en	the million
das	Risiko/ die Risiken	the risk (not 'G...')
der	Test/ -s	the test, trial, quiz
die	Grenze/ -n	the border, limit, boundary
die	Bühne/ -n	the (performance) stage
der	Anhänger/ -	trailer (vehicle), follower, supporter
das	Interesse/ -n	the interest (e.g. to have an interest in smth)
das	Kino/ -s	the cinema
die	Einheit/ -en	the unity, the whole
der	Sonntag/ -e	the Sunday
der	Stern/ -e	the star
der	Blödsinn/ -e	the nonsense ('B_')
der	Freitag/ -e	the Friday
der	Zufall/ -"e	Coincidence, accident, fluke, chance occurence
die	Energie/ -n	the energy
die	Oma/ -s	the grandma (colloquial)
die	Großmutter/ -"	the grandmother
der	Dieb/ -e	the male thief
der	Beweis/ -e	the evidence, proof, verification (Nachweis, Beleg, or ...)
der	Garten/ -"	the garden
der	Mantel/ -"	the coat
das	Brot/ -e	the bread, the sandwich
die	Lösung/ -en	the solution
das	Wetter	the weather (no plural)
der	Champagner	the champagne (produced within the Champagne region of France) (no plural)
das	Publikum/ die Publika	the audience
der	Bulle/ -n	the bull
der	Stuhl/ -"e	the chair (no arms)
der	Schutz/ -e	the protection
die	Karriere/ -n	the career ('K_')
der	Norden	the north (no plural)
der	Hintergrund/ -"e	the background
der	Schüler/ -	the pupil (primary or secondary school)
die	Krankheit/ -en	the illness (Erkrankung, or ...)
der	Süden	the south (no plural)
die	Abteilung/ -en	the department (not 'D...')
die	Vorstellung/ -en	the imagination, notion, introduction (first meetings), perception, idea, concept
der	Samstag/ -e	the Saturday
der	Gast/ -"e	the guest
die	Mitte/ -n	the middle
das	Tausend/ -e	the thousand
das	Ohr/ -en	the ear
der	Berg/ -e	the mountain
die	Rose/ -n	the rose
die	Erinnerung/ -en	the memory, reminder
der	Ton/ -"e	the tone, the sound, the note
das	Gebiet/ -e	the area, terrority, region
der	Westen	the west (no plural)
der	Zweifel/ -	the doubt
der	Staat/ -en	the state
der	Direktor/ -en	the director
der	Kuchen/ -	the cake
die	Kohle/ -n	the coal
die	Medizin/ -en	the medicine (not 'Medikament')
das	Video/ -s	the video
der	Beruf/ -e	the profession
das	Hemd/ -en	the shirt
die	Rechnung/ -en	the bill, the invoice, the calculation
der	Termin/ -e	the appointment, the date ('Verabredung' or ...)
der	Spiegel/ -	the mirror
die	Menschheit	the humanity, human race, human kind, mankind (no plural) ('M_')
der	Sturm/ -"e	the storm
der	Motor/ -en	the motor
der	Winter/ -	the Winter
die	Brust/ -"e	the breast, the chest
die	Größe/ -n	the height, the size
die	Zigarette/ -n	the cigarette
das	Handy/ -s	the cell phone (not 'Mobiltelefon')
das	College/ -s	the college, university (not 'Hochschule', 'Universität')
die	Toilette/ -n	the restroom, lavatory
die	Tatsache/ -n	the fact ('T~')
der	Selbstmord/ -e	the suicide
die	Zunge/ -n	the tongue
die	Treppe/ -n	the stair
der	Streit/ -e	the argument ('S_')
der	Bauch/ -"e	the belly, stomach (Magen, or ...)
die	Decke/ -n	1. the blanket. 2. the ceiling
der	Deutsche/ -n/ -n	the German person
der	Montag/ -e	the Monday
der	Inspektor/ -en	the inspector
die	Eisenbahn/ -en	the railway
das	Papier/ -e	the paper, the document
das	Talent/ -e	the talent (not 'B...')
der	Geschmack/ -"e	the taste
das	Labor/ -s	the laboratory
der	Griff/ -e	the grip, (mus.) the fingering
das	Ei/ -er	the egg
der	Osten	the east (no plural)
der	Alkohol	the alcohol (no plural)
die	Erklärung/ -en	the explanation, clarification, declaration
der	Bürgermeister/ -	the mayor
der	Schnee	the snow (no plural)
die	Zahl/ -en	the number ('Z_')
das	Pech/ -e	bad luck, coal-tar pitch
die	Botschaft/ -en	the message, embassy
der	Stoff/ -e	the material ('Material' or ...)
die	Mitternacht/ -"e	the midnight
das	Verfahren/ -	the procedure, method, process, lawsuit
die	Sendung/ -en	the consignment, program (TV), broadcast
die	Heimat/ -en	the home country, the home town
die	Linie/ -n	the line (Zeile, Leitung, Warteschlange, or ...)
der	Scheck/ -s	the check (to pay bills)
die	Jacke/ -n	the jacket
die	Kleidung/ -en	the clothing
die	Absicht/ -en	the purpose, intention, aim, intent ('A'_)
die	Aussage/ -n	the statement, assertion, testimony ('Au_')
das	Feld/ -er	the field
die	Mühe/ -n	the effort, toil, hassle, trouble ('Anstrengung' or ...)
das	Prozent/ -e	the percent
die	Kuh/ -"e	the cow
der	Spieler/ -	the player
der	Fernseher/ -	the television set
die	Erlaubnis/ -se	the permission
die	Bedeutung/ -en	the meaning, the sense (Sinn, or ...)
die	Hütte/ -n	the hut
die	Brille/ -n	the eyeglasses
der	Eindruck/ -"e	the impression
die	Not/ -"e	the need, the distress
der	Stil/ -e	the style
das	Schlafzimmer/ -	the bedroom
das	Gras/ -"er	the grass
der	Strom/ -"e	the electricity current
der	Titel/ -	the title
die	Geburt/ -en	the birth
das	Universum/ die Universen	the universe (U-)
die	Politik	the politics (no plural)
der	Müll	The garbage, trash, rubbish, refuse (not 'A..')
der	Staub	the dust (no plural)
der	Narr/ -en/ -en	the fool, idiot, dummy, clown ('N_')
der	Vorschlag/ -"e	the suggestion
das	Klo/ -s	the toilet, bathroom, restroom, loo (German slang for "Toilette")
das	Werk/ -e	the work (of art, etc.)
der	Hof/ -"e	courtyard
der	Opa/ -s	the grandpa
der	Künstler/ -	the male artist
der	Kaiser/ -	the emperor
der	Kauf/ -"e	the purchase
das	Projekt/ -e	the project
die	Spitze/ -n	the lace
das	Benzin	the gasoline, gas, petrol (no plural)
der	Bürger/ -	the citizen
der	Dummkopf/ -"e	dumb person, idiot ('Du_')
das	Holz	the wood (no plural)
der	Dienstag/ -e	the Tuesday
der	Mittag/ -e	the noon
die	Fabrik/ -en	the factory
die	Leiter/ -n	the ladder
der	Leiter/ -	the leader, the manager
die	Leiter/ -n	the ladder
die	Schlange/ -n	the snake
der	Zucker	the sugar (no plural)
die	en	to serve, to be used as
der	Wissenschaftler/ -	the academic
das	Fett	the fat (no plural)
die	Regel/ -n	the rule
das	Gegenteil/ -e	the opposite (Gegensatz, ... )
der	Artikel/ -	the article
der	Kilometer/ -	the kilometer
die	Freundschaft/ -en	the friendship
der	Reifen/ -	the tyre
die	Aufnahme/ -n	the admission, recording, reception
der	Feigling/ -e	the coward
der	Markt/ -"e	the market
die	Wirklichkeit	the reality (no plural) ('Realität' or ...)
die	Ware/ -n	the merchandise
der	Sitz/ -e	the seat, headquarters
die	Gesundheit	the health (no plural)
die	Eile	the hurry, the rush (no plural)
die	Sicht/ -en	sight, visibility, view (range of vision) (also figurative).
die	Unterstützung/ -en	the support
die	Ratte/ -n	the rat
das	Gedächtnis/ -se	the memory ('Erinnerung' or ...)
der	Auftritt/ -e	appearance (on stage), performance
der	Sand	the sand (no plural)
die	Stellung/ -en	the job position
die	Theorie/ -n	the theory
der	Arbeiter/ -	the worker ('Ar_')
der	Lärm	the noise, fuss (not 'G...'. 'K...') (no plural)
das	Mittagessen/ -	the lunch, the noon meal
der	Hubschrauber/ -	the helicopter
die	Realität/ -en	the reality ('Wirklichkeit' or ...)
die	Verabredung/ -en	the appointment, the date ('Termin' or ...)
die	Stimmung/ -en	the mood, atmosphere, sentiment (Laune, Atmosphäre, or ...)
die	Tasse/ -n	the cup
der	Zweck/ -e	the purpose, aim, objective, intention
das	Urteil/ -e	the judgment
der	Manager/ -	the manager
die	Stärke/ -n	the strength
der	Donnerstag/ -e	the Thursday
der	Anteil/ -e	the amount, stake, share, proportion
die	Unterhaltung/ -en	the entertainment, conversation
das	Gepäck	the luggage (no plural)
der	Bahnhof/ -"e	the train station
das	Kreuz/ -e	the cross, crucifix, clubs (cards)
der	Text/ -e	the text
das	Mitglied/ -er	the member
der	enige	that (one), the (one) ('d_')
der	Schrank/ -"e	the closet, cupboard
die	Leitung/ -en	the line, lead, conduct, management
der	Start/ -s	the start (Anfang,Beginn, ... )
die	Ursache/ -n	the cause, reason ('Grund' or ...)
die	Figur/ -en	the figure, physique
der	Rauch	the smoke (no plural)
die	Schulter/ -n	the shoulder
der	Krebs	the cancer (no plural)
die	Einladung/ -en	the invitation
das	Gerät/ -e	the device, appliance (not 'V...', 'E...')
die	Information/ -en	the information ('I_')
die	Wut	the anger, the rage ('Zorn' or ...) (no plural)
die	Farm/ -en	the farm ('F_')
das	Jahrhundert/ -e	the century
der	Virus/ die Viren	the virus
der	Humor	the humor (no plural)
das	Geräusch/ -e	the noise (countable)
das	Japan/ -	Japan
die	Suppe/ -n	the soup
die	Schokolade	the chocolate (no plural)
die	Miete/ -n	the rent
die	Pizza/ -s	the pizza
der	Gegner/ -	the opponent/ the adversary
die	Basis/ die Basen	the basis
der	Stahl/ -"e	the steel
das	Viertel/ -	the quarter (measure)
die	Einstellung/ -en	the adjustment, setting, attitude
der	Verdacht/ -"e	the suspicion (not 'M...')
die	Krone/ -n	the crown
die	Kindheit/ -en	the childhood
der	Hügel/ -	the hill
der	Fan/ -s	the fan
das	Museum/ die Museen	the museum
die	Nation/ -en	the nation
das	Einkaufen/ die Einkäufe	the shopping
der	Ausweis/ -e	the identity card (A~)
der	Käse	the cheese (no plural)
der	Kreis/ -e	the circle
die	Mauer/ -n	the wall (outdoors)
die	Puppe/ -n	the doll
die	Universität/ -en	the university
der	September	September
das	Schild/ -er	1. the shield. 2. the sign.
das	Klavier/ -e	the piano
die	Belohnung/ -en	the reward
der	Weihnachtsmann	the Santa Claus (no plural)
die	Küste/ -n	the coast
die	Warnung/ -en	the warning
der	Patient/ -en/ -en	the patient
die	Dusche/ -n	the shower (for washing)
der	Zugang/ -"e	the access
der	Schreibtisch/ -e	the desk
die	Hitze	the heat (no plural)
der	Kühlschrank/ -"e	the refrigerator
der	Hammer/ -"	the hammer
das	Fieber/ -	the fever
der	Koch/ -"e	the male cook
das	Material/ -ien	the material ('Stoff' or ...)
der	Juli	the July (no plural)
die	Behandlung/ -en	the treatment, dealing, handling (not 'Bearbeitung')
der	April	the April (no plural)
die	Neigung/ -en	tendency, tilt, inclination (angle)
der	Unterricht	the lesson (not 'L...')
der	Verlust/ -e	the loss
der	Regisseur/ -e	the film director
der	Stress	the stress (no plural)
das	Konto/ -s	the account (finance)
das	Modell/ -e	the model
der	Charakter/ -e	the character, temper, nature
die	Religion/ -en	the religion
die	Witwe/ -n	the widow
der	Stiefel/ -	the boot
der	Sport	the sports, athletics (no plural)
der	Apparat/ -e	the apparatus, the appliance
die	Versicherung/ -en	the insurance
die	Ankunft/ -"e	the arrival
der	Schock/ -s	the shock (noun)
der	Hafen/ -"	the harbour
das	Konzert/ -e	the concert
die	Störung/ -en	the disturbance
das	Gewicht/ -e	the weight
der	Widerstand/ -"e	the resistance, resistor (elec.) opposition
der	August	the August (no plural)
das	Paradies/ -e	the paradise
der	Turm/ -"e	the tower
der	Trainer/ -	the coach
die	Entfernung/ -en	the distance (not 'A...', 'F...', 'D...', 'S...')
die	Werbung/ -en	the advertising, advertisement
der	Empfang/ -"e	the reception ('E~')
die	Führung/ -en	the guided tour
der	Kunde/ -n/ -n	the male customer
die	Wäsche	the laundry (no plural)
der	Führerschein/ -e	the driving license ('Fü_')
das	Rad/ -"er	the wheel, the bike
die	Truppe/ -n	1. the combat squad 2. the troupe or (acting, dancing) company
der	Pfarrer/ -	the pastor
die	Quelle/ -n	the source
der	Esel/ -	the donkey
die	Kopfschmerzen	the headache
der	Roman/ -e	the novel
die	Technik/ -en	the technology ('Technologie' or ...)
die	Befürchtung/ -en	the fear, apprehension, worry (not 'Angst')
das	Netz/ -e	the net
das	Zentrum/ die Zentren	the centre
das	Huhn/ -"er	the hen (not 'W...')
das	Ergebnis/ -se	the result
die	Blume/ -n	the flower
die	Uni/ -s	the university (colloquial)
die	Atmosphäre/ -n	the atmosphere ('Stimmung' or ...)
das	Abenteuer/ -	the adventure
der	Abschied/ -e	the farewell
der	Minister/ -	the minister
die	Gemeinde/ -n	the municipality, community
der	Einfluss/ -"e	the influence
der	Verdienst/ -e	the pay, the wages ('Lohn', ...)
der	Satz/ -"e	the sentence
das	Dutzend/ -e	the dozen
der	Zorn	the anger, the rage ('Wut' or ...) (no plural)
der	Antrag/ -"e	the application, proposal, request
der	Bau/ die Bauten	the construction (Einrichtung, Konstruktion, Aufbau, or ...)
die	Bibel/ -n	the bible
die	Phase/ -n	the phase
der	Wille/ -n	the will
die	Kutsche/ -n	the horse carriage
der	Hai/ -e	the shark (only one syllable)
das	Tagebuch/ -"er	the diary
die	Sekretärin/ -nen	the female secretary
der	elbe/ dasselbe/ dieselbe	the same (three forms)
der	Mitarbeiter/ -	the employee ('M_')
die	Laune/ -n	the mood (of a person)
der	Verkehr	the traffic (no plural)
das	Badezimmer/ -	the bathroom
das	Steuer/ -	the rudder (not 'R...')
der	Kanal/ -"e	the channel, the canal
die	Steuer/ -n	the tax
der	Ausdruck/ -"e	the expression (print / edition)
der	Bart/ "-e	the beard
die	Beteiligung / -en	the sharing, involvement
der	Schmuck	the jewelry (no plural)
der	Appetit	the appetite (no plural)
der	Begriff/ -e	the concept ('B_')
der	Autor/ -en	the author
die	Transparenz	the transparency (no plural)
der	Mittwoch/ -e	the Wednesday
die	Maus/ -"e	the mouse
der	Jäger/ -	the hunter
die	Aussicht/ -en	the prospect, view, outlook (Ansicht, Ausblick, or ...)
das	Fahrrad/ -"er	the bicycle
der	Jude/ -n/ -n	the male Jew
der	Gewinn/ -e	the gain
der	Schuh/ -e	the shoe
der	Teller/ -	the plate (crockery)
der	Frühling/ -e	the spring (not Frühjahr)
der	Hinweis/ -e	evidence, clue, hint, tip, lead ('H_')
die	Gitarre/ -n	the guitar
die	Wolle	the wool (no plural)
die	Cola/ -s	the cola
die	Platte/ -n	the plate, the platter, the panel
die	Heirat/ -en	the marriage ('H_')
der	Zuschauer/ -	the viewer, the spectator
die	Gegenwart	the present time (no plural)
der	Juni	the June (no plural)
der	Lohn/ -e	the pay, the wages ('Verdienst', ... )
der	Bär/ -en/ -en	the bear
das	Tal/ -"er	the valley
das	Salz/ -e	the salt
der	Vorteil/ -e	the advantage
der	Nebel/ -	the mist, fog, haze
der	Psychiater/ -	the psychiatrist
der	Beginn	the beginning ('B_') (no plural)
der	Affe/ -n/ -n	the ape, the monkey
der	Toast/ -s	the toast (heated bread)
die	Scheibe/ -n	the slice
die	Bibliothek/ -en	the library
die	Ehefrau/ -en	the wife, spouse (female) (Frau, Gattin, or ...)
der	Daumen/ -	the thumb
das	Fahrzeug/ -e	the vehicle
die	Ferien	the vacation (plural only) (usually school vacation)
das	Personal	the staff, the personnel (no plural)
der	Besucher/ -	the visitor
das	Motorrad/ -"er	the motorcycle
der	Käfig/ -e	the cage
die	Generation/ -en	the generation
der	Ausgang/ -"e	the exit (of a building, area, etc.), outcome (result), outlet (electrical), output (of a circuit, device)
der	Zaun/ -"e	the fence
die	Fantasie/ -n	the fantasy/ the imagination
die	Garage/ -n	the garage
die	Brieftasche/ -n	the wallet ('B_')
die	Unterschrift/ -en	the signature
die	Anzeige/ -n	the newspaper ad
der	Abschluss/ -"e	graduation, degree, conclusion, completion, closure ('A_')
der	Tropfen/ -	the drop of liquid
der	Aufzug/ -"e	the lift, the elevator
der	Ozean/ -e	the ocean ('O_')
der	Durst	the thirst (no plural)
die	Lampe/ -n	the lamp
das	Café/ -s	the café
der	Musiker/ -	the male musician
die	Ausbildung/ -en	the apprenticeship, training, education, schooling
die	Geschwindigkeit/ -en	the speed
der	Saft/ -"e	the juice
die	Aktion/ -en	the action, campaign ('A_')
der	Teppich/ -e	the carpet, the rug
die	Leine/ -n	the leash
die	Umgebung/ -en	the surrounding area ('Umfeld', 'Umwelt', or ...)
der	Profi/ -s	the pro
der	Handel	the trade (no plural)
der	Fleck/ -en	the spot
die	Leistung/ -en	the performance, achievement, accomplishment, power
die	Stufe/ -n	the level ('S_')
die	Unterwäsche	the underwear (plural only)
die	Partei/ -en	the political party
der	Eingang/ -"e	the entrance to a building, inlet, doorway, access
die	Zone/ -n	the zone
die	Seife/ -n	the soap
die	Oper/ -n	the opera
der	Service	the service (no plural) (S~)
die	Kultur/ -en	the culture
die	Tradition/ -en	the tradition
die	Mannschaft/ -en	the team (Team, or ...)
das	Bewusstsein	the consciousness (no plural)
die	Rettung/ -en	the rescue
der	Alptraum/ -"e	the nightmare
das	Objekt/ -e	the object
die	Stirn/ -en	the forehead
die	Technologie/ -n	the technology ('Technik' or ...)
der	Saal/ die Säle	the hall (big room)
die	Strecke/ -n	the distance ('s..')
das	Gedicht/ -e	the poem
die	Krise/ -n	the crisis
das	Handtuch/ -"er	the towel
der	Schriftsteller/ -	the writer (Autor, Verfasser, or ...)
das	Experiment/ -e	the experiment (Versuch, Probe, or ...)
das	Zelt/ -e	the tent
der	Zettel/ -	the slip/piece of paper, note, bill
das	Verständnis/ -se	the comprehension, understanding ('Verstehen" or ... ('V_')
der	Experte/ -n/ -n	the male expert
die	Butter	the butter (no plural)
die	Krawatte/ -n	the tie ('K_')
das	Interview/ -s	the interview (not for a job)
der	Parkplatz/ -"e	the parking space, the parking lot
das	Symbol/ -e	the symbol
die	Marke/ -n	the brand, label, make, mark (of a product)
der	November	the November (no plural)
die	Tragödie/ -n	the tragedy
der	Vergleich/ -e	the comparison
das	Kabel/ -	the cable, the wire
die	Summe/ -n	the sum
das	Amt/ -"er	the department, office, bureau ('Büro' or ...)
der	Schnaps/ -"e	the schnapps, the hard liquor
das	Blatt/ -"er	the leaf, the piece of paper
das	Golf	the golf (no plural)
die	Pfeife/ -n	the pipe (for smoking)/ the whistle
der	Zahnarzt/ -"e	the dentist
das	Kostüm/ -e	the Costume, a woman's suit
das	Motiv/ -e	the motive, the motif
die	Prüfung/ -en	the exam (Examen, or ...)
das	Ereignis/ -se	the event, incident, occurence ('E_')
der	Kater/ -	the hangover
der	Kofferraum/ -"e	the trunk (of a car), luggage trunk, the boot
das	Futter/ -	the animal feed
der	Kellner/ -	the waiter
die	Verhandlung/ -en	the negotiation, trial, conference
die	Telefonnummer/ -n	the telephone number
der	Reis	the rice (no plural)
das	Brett/ -er	the board/ the plank
das	Internet	the internet (no plural)
der	März	the March (no plural)
der	Rand/ -"er	the edge
das	Märchen/ -	the fairy tale
der	Reiter/ -	the horseback rider
die	Erwachsene/ -n	the female adult
der	Erwachsene/ -n	the male adult
die	Serie/ -n	the TV series
der	Lautsprecher/ -	the loudspeaker
die	Kombination/ -en	the combination
die	Verspätung/ -en	the delay
die	Temperatur/ -en	the temperature
die	Forschung/ -en	the research (Recherche, Erkundung, Erforschung, or ...)
der	Kollege/ -n/ -n	the colleague
die	Wunde/ -n	the wound
die	Bevölkerung/ -en	the population
die	Persönlichkeit/ -en	the personality
der	Schneider/ -	the tailor
die	Villa/ die Villen	the villa
das	Jubiläum/ - die Jubiläen	The anniversary, jubilee (not 'Jahrestag')
der	Stamm/ -"e	the stem, tribe, trunk (tree)
die	Ansicht/ -en	the opinion, notion, view, belief ('An_')
die	Tankstelle/ -n	the petrol station
die	Klage/ -n	the action (law), claim (law), complaint (law), legal action, suit ('K_')
der	Akt/ -e	1. the act (of an opera, etc.) 2. the nude (in art)
der	Zahn/ -"e	the tooth
der	Wettbewerb/ -e	the competition, contest
der	Enkel/ -	the grandson, the grandchild
die	Couch/ -es	the couch
das	Sofa/ -s	the sofa
das	Gehalt/ -"er	the salary, wage
die	Mutti/ -s	the mama, mom, mum (not Mama)
die	Saison/ -s	the season (Jahreszeit, ... )
das	Wohnzimmer/ -	the living room
die	Republik/ -en	the republic
der	Eimer/ -	the bucket
das	Ufer/ -	the bank (of a river, etc.)
der	Abstand/ -"e	the distance, gap
die	Jury/ -s	the jury
die	Welle/ -n	the wave
die	Flur/ -en	the meadow, field (not Wiese)
der	Flur/ -e	the hall, the corridor ('F_')
die	Ausnahme/ -n	the exception
der	Rasen/ -	the lawn
der	Lkw/ -s	the truck (colloquial)
das	Schach	the chess (no plural)
der	Brand/ -"e	the fire ('Feuer' or ...)
der	Bauer/ -n/ -n	the farmer ('B_')
die	Demokratie/ -n	the democracy
die	Therapie/ -n	the therapy
das	Rezept/ -e	the recipe
die	Produktion/ -en	the production
die	Landung/ -en	the landing
der	Vertreter/ -	the representative, proxy, agent (pol.) deputy (V_)
der	Nachbar/ -n/ -n	the male neighbour
das	Steak/ -s	the steak
die	Nichte/ -n	the niece
der	Umschlag/ -"e	the envelope (mail), cover
das	Kaninchen/ -	the rabbit ('K_')
die	Versammlung/ -en	the assembly, gathering, convention, session
der	Pfad/ -e	the path
das	Ausland/ -"er	the foreign land
das	Datum/ die Daten	the date
das	Magazin/ -e	the magazine (not Z...)
das	Kompliment/ -e	the compliment
der	Januar	the January (no plural)
die	Fähigkeit/ -en	the ability, skill, capability
der	Spaziergang/ -"e	the walk
der	Japaner/ -	the Japanese (person)
der	Gürtel/ -	the belt
die	Zigarre/ -n	the cigar
der	Salat/ -e	the salad
die	Krankenschwester/ -n	the nurse (female)
die	Mode/ -n	the fashion
die	Erfindung/ -en	the invention
die	Möbel	the furniture (plural only)
die	Ente/ -n	the duck
der	Weltkrieg/ -e	the world war
der	Wurm/ -"er	the worm
die	Mütze/ -n	the yarn winter head cover cap
der	Neffe/ -n/ -n	the nephew
das	Studium/ die Studien	the study, the studies, studying, scholastics
