reich	rich
brav	well-behaved ('artig' or ...)
möglicherweise	possibly (eventuell, or ...)
rosa	pink
innen	inside
clever	clever (not 'schlau', 'klug')
eng	narrow, tight
per	by, via, per (cup, person)
geil	awesome, wicked (coll.), cool (coll.), horny (coll.) ('g_')
sicherlich	certainly
taub	deaf
angeblich	alleged, supposedly, allegedly, reportedly ('a_')
hundert	hundred
berühmt	famous (bekannt, or ...)
meistens	mostly, usually
äußerst	extremely
bequem	convenient, comfortable, handy ('b_')
kompliziert	complicated
mittel	medium, middle, median
real	real (not 'e...', 'w...')
hässlich	ugly
elf	eleven
albern	silly ('a_')
unglücklich	unhappy
weich	soft (sanft or ...)
offiziell	official
Spanisch	Spanish (language)
spanisch	Spanish (adj.)
lecker	delicious
eindeutig	clear, obvious, distinct, unambiguous (e_)
gewohnt	accustomed, habitual, familiar
nass	wet
Juli	July
ungemein	immensely, tremendously, profoundly ('u_')
jener	that ('j_')
rund	round
Russland	Russia
august	august
pünktlich	punctual, on time
grausam	gruesome, cruel
einzig	single, only
schmutzig	dirty ('dreckig' or ...)
Spanien	Spain
sozusagen	so to speak
extrem	extreme
freiwillig	voluntary
hell	bright
gewöhnlich	usually
Oktober	October
außen	outside (not 'd'..., 2 syllables)
deutsch	German (adj.)
Deutsch	German language
doppelt	double
herrlich	splendid
großzügig	generous
Italien	Italy
darunter	under it
mächtig	powerful (m_)
höchstens	at most
trocken	dry (adj.)
geradeaus	straight ahead
typisch	typical
unhöflich	impolite
informiert	informed
verlobt	engaged (to be married)
notwendig	necessary, essential (can't be used with 'haben')
besetzt	occupied, busy, filled (position)
romantisch	romantic
zwanzig	twenty
Indien	India
sanft	soft (weich or ...)
riesig	huge, enormous, vast (not 'g...', 'e...')
schüchtern	shy, bashful
glatt	smooth, sleek, slick, straight, downright
billig	cheap
beliebt	popular, well-loved
grob	coarse, uncouth
intelligent	intelligent
ausmachen	1. to turn off, to extinguish 2. to come to, to constitute
vorhanden	available, existent, present, on hand
aufmerksam	attentive, observant
ordentlich	tidy (not 's...', 'a...')
allzu	overly (done), too (much), far too (much), all too (well)
ansonsten	otherwise
widerlich	revolting
genial	ingenious, brilliant
november	november
herzlich	cordially, sincere, cordial, heartfelt, warmly, affectionate
höflich	polite
lediglich	only, merely, solely (not 'b...')
faul	lazy, idle, foul, rotten
Chinesisch	Chinese
Dezember	December
Kanada	Canada
breit	wide
dünn	thin
hinauf	up (h_)
März	March
menschlich	human, humane, humanly, manlike
rückwärts	backwards
gemütlich	cozy, comfortable ('g_')
solcher/ solches/ solche	such (three forms)
nutzlos	useless
russisch	Russian (adj.)
Kuba	Cuba
privat	private
vollständig	entirely, utterly, completely (3 syllables)
frech	fresh, insolent
vergangen	past (adj.)
geschieden	divorced
dritte	third
rasch	quick ('r_')
hauptsächlich	mainly ('h_')
Australien	Australia
lebendig	alive, lively, spirited
Wien	Vienna
versichert	insured
häufig	frequent(ly), common, often
grau	grey
andererseits	on the other hand ('a_')
unbekannt	unknown
keineswegs	by no means
besoffen	drunk
ohnehin	anyway, anyhow ('O_')
meist	most
meist	most
harmlos	harmless
Polen	Poland
hilfreich	helpful ('hilfsbereit' or ...)
fremd	foreign ('f_')
selbe/ derselbe/ dasselbe/ dieselbe	same (4 forms)
umgekehrt	conversely, vice versa, inversely
wertvoll	valuable
Schweden	Sweden
unsicher	unsure
verwandt	related
öffentlich	public
orange	orange
reif	ripe
fit	fit
insgesamt	altogether, overall, collectively
dreckig	dirty ('schmutzig' or ...)
heilig	holy
endgültig	final (abschließend, ... )
braun	brown
weltweit	worldwide
Israel	Israel
exakt	exact (e~)
gratis	free, without charge (gr_)
bedeckt	covered, overcast
kräftig	strong ('stark' or ...)
geeignet	suitable, convenient, appropriate, properly ('G_')
eventuell	possible ('e_')
angesichts	in view of
Februar	February
lila	purple (not 'v...')
gelb	yellow
stundenlang	for hours
doof	dumb, silly, nerdy ('do_')
hilflos	helpless
steif	stiff
italienisch	Italian (adj.)
schockiert	shocked
übermorgen	the day after tomorrow
somit	consequently, thus, therefore, hence
neidisch	jealous ('eifersüchtig' or ...)
hoffnungslos	hopeless
erleichtert	relieved
gestattet	permitted (g~)
kühl	cool, chilly, distant, cold
verschieden	various, different, varied, diverse
Venedig	Venice
Griechenland	greece
Schottland	Scotland
ober	upper
feucht	humid ('f_')
zeichnen	1. to draw. 2. to sign
abhängig	dependent
arbeitslos	unemployed
beruflich	professionally
regelmäßig	regular, regularly, constant, consistently
gewaltig	enormous, vast, tremendous (not 'r...', 'e...')
bezaubernd	enchanting
Korea	Korea
flach	flat, shallow, plane, level, flush
bescheiden	modest
unabhängig	independent, autonomous, standalone (U_)
blond	blonde
gelegentlich	occasionally
gemäß	according to/ pursuant to ('g~') (+Dativ)
entsprechend	appropriate, respective, accordingly ('e_')
ängstlich	anxious
elegant	elegant
dreißig	thirty
wertlos	worthless
fünfzig	fifty
gekleidet	dressed
seither	since then (seitdem, ... )
sorgfältig	with care
gebildet	educated
sentimental	sentimental
hierfür	(in exchange) for this
anstrengend	tiring ('a_')
nachmittags	in the afternoon/s (one word)
München	Munich
golden	golden
lahm	lame (leg), dreary, boring
angemessen	appropriate, suitable, proper, adequate ('A_')
international	international
männlich	male, masculine, virile (adj.)
arrogant	arrogant
online	online
vorgestern	the day before yesterday
spannend	exciting (not 'a_')
national	national
behindert	handicapped, disabled
automatisch	automatic
anderthalb	one and a half ('e_' or ...)
technisch	technical (not 'f...')
geistig	mental/ spiritual/ intellectual, mentally (g~)
stumm	mute, silent
ursprünglich	originally
arabisch	Arabian
gruselig	creepy, eerie, scary, spooky (not un...)
theoretisch	theoretical
fünfzehn	fifteen
sichtbar	visible
kindisch	childish ('kindlich' or ...)
wesentlich	essential (lebenswichtig, ... ) ('w_')
ideal	ideal
gleichgültig	indifferent
körperlich	physical
wiederum	in turn, again
sofern	provided that, as long as
winzig	tiny
niedrig	menial, low, small
durstig	thirsty
enorm	enormous (not 'g...', 'r...')
inklusive	inclusive of
gütig	kind, gracious
geduldig	patient
global	global (weltweit, or ...)
weiblich	female (adj.)
anderswo	somewhere else
Irland	Ireland
günstig	favourable, cheap, convenient
Ungarn	Hungary
politisch	political
bankrott	bankrupt
komplex	complex
Latein	Latin (language)
teilweise	partially
vierzig	forty
passend	appropriate, convenient, suitable, fit ('P_')
dreizehn	thirteen
reduziert	reduced
modern	modern
fleißig	hard-working
kritisch	critical
verspätet	delayed
ärgerlich	annoying, angry, troublesome (not 'l...')
Wiener	Viennese
Brasilien	Brazil
letztlich	ultimately, lately, eventually, at the latest, in the end ('L_')
jüdisch	Jewish
bislang	up to now, so far ('not bisher,' 'bis jetzt')
endlos	endless
vielmehr	rather ('V_')
beste	best
zusätzlich	additional, additionally, supplementary, furthermore
unerhört	incredible, outrageous, unheard of
tätig	active (t~)
kostenlos	free, without charge (k_)
unzufrieden	dissatisfied
polnisch	Polish (adj.)
griechisch	Greek (adj.)
schlank	slim
schriftlich	in writing
geladen	loaded (not 'v_,' 'b_')
raffiniert	refined
defekt	defective
sympathisch	likeable, pleasant, sympathetic
gestresst	stressed
anhand	based on, against (when measuring), via
äußere	external, outer
hingegen	whereas, however, on the contrary, on the other hand
identisch	identical
Jura	the law (the academic discipline) (no plural / no article)
höllisch	hellish
ausschließlich	solely, exclusively, exclusive ('a_')
unvorstellbar	unimaginable
Dänemark	Denmark
eigen	own
religiös	religious
mancher/ manches/ manche	some (three forms)
erstmals	for the first time (1 word)
beschämt	ashamed
zornig	angry ('z_')
undankbar	ungrateful
katholisch	Catholic
erweitert	advanced, enlarged, widened, dilated
Belgien	Belgium
Chile	Chile
aufgeräumt	tidy, cheerful
primitiv	primitive
unterschiedlich	different ('u_')
glänzend	shiny (funkelnd, or ...)
bedeutungslos	meaningless (not 's...')
bedeutend	major, substantial, significant, important (b-)
eineinhalb	one and a half ('e_')
Pakistan	Pakistan
Argentinien	Argentina
finanziell	financial
vierzehn	fourteen
optimistisch	optimistic
amerikanisch	American (adj.)
intensiv	intense
ICE	InterCity Express
heiter	cheerful, sunny weather
verdächtig	suspicious, suspect, fishy (adj)
Valentinstag	Valentine's Day
machbar	doable
türkisch	Turkish (adj.)
flüchtig	volatile, briefly, brief, fleeting
qualifiziert	qualified
jährlich	yearly
geschmacklos	tacky, tasteless, crude
krumm	crooked, bent, lopsided (not 'schief')
maximal	maximal, maximum
vergnügt	jolly, enjoyable, gleefully, cheerfully
gefährlich	dangerous
außerdem	besides, moreover, furthermore, in addition
nochmal	again ('n_')
perfekt	perfect
kreativ	creative
rücksichtslos	reckless, ruthless, without regard, inconsiderate, thoughtless
medizinisch	medical
miserabel	miserable
Peru	Peru
anschließend	subsequent, subsequently, afterwards, then (danach, or ...)
verbittert	bitter, embittered
mittels	by means of (anhand, ... )
seekrank	seasick
gegenwärtig	current, contemporary, present, currently ('g_')
Portugal	Portugal
lebhaft	lively
mittlere	average, mean, middle
stürmisch	stormy
gesetzlich	legal (rechtlich, or ...)
Finnland	Finland
verstümmelt	mutilated, garbled, maimed
obgleich	albiet, although ('obwohl' or ...)
ungesund	unhealthy
gültig	valid (berechtigt, zulässig, or ...)
sinnvoll	sensible, useful, meaningful ('vernünftig' or ...)
unverantwortlich	irresponsible, wreckless ('u_')
ledig	single, unmarried
Kolumbien	Colombia
unehrlich	dishonest
schamlos	shameless
herzlos	heartless
Luxemburg	Luxembourg
elektrisch	electric
unangenehm	unpleasant, uncomfortable
schwedisch	Swedish (adj.)
sparsam	economical, spare, thrifty, frugal
mysteriös	mysterious
rechtlich	legal, legally (not 'gesetzlich')
Nordamerika	North America
bunt	colourful
attraktiv	attractive, handsome (not 'schön')
demokratisch	democratic
schläfrig	drowsy, sleepy, drowsily
massiv	grave, severe, massive, greatly, solid
freilich	true ..., certainly, indeed, admittedly ('zwar', or ...)
wissenschaftlich	scientific, academic, scholarly
klassisch	classical, ancient, vintage
unordentlich	untidy, messy, disheveled, disorderly (unaufgeräumt, ungeordnet, or ...)
windig	windy
uralt	ancient, age-old, very old
ermüdend	tiring ('e_')
Norwegen	Norway
nebenan	next door, in the next room
poetisch	poetic
musikalisch	musical (adj.)
brandneu	brand new
künftig	in the future (one word) ('k_')
einigermaßen	reasonably , somewhat, more or less, to some extent (etwa, or ...)
zumal	especially, particularly, especially since..., especially considering that...
human	human, humane, kind ('h_')
sonnig	sunny (heiter, besonnt, sonnenreich, sonnenhell, or ...)
mäßig	moderate, -"wise" (coll.)
revolutionär	revolutionary
strikt	strict
hinsichtlich	concerning, regarding, with respect to, in regard to ('h_')
schmal	narrow, slender, small (waist) (schlank, or ...)
eklig	disgusting, nasty, icky, gross
hilfsbereit	helpful ('hilfreich' or ...)
konservativ	conservative
umso besser	all the better (even better)
lebensmüde	suicidal, depressed, tired of life
fließend	fluent, flowing, fluently, running (water)
fromm	pious, devout, divine, relgious
wöchentlich	weekly
populär	popular
bewölkt	cloudy, overcast
biologisch	biological
hartnäckig	stubborn, persistent, tenacious, adamant (stur, or ... 'h'_)
saftig	succulent, juicy, lush
chemisch	chemical
stressig	stressful
vormittags	mornings, before noon ('v...')
zunehmend	increasingly, increasing, growing
grundlegend	basic, fundamental, essential (g_)
digital	digital
zu guter Letzt	lastly, at long last, in the end, last but not least, on a final note (zu ...)
taktlos	tactless, indelicate, indiscrete
exotisch	exotic
wirksam	effective, efficient, effectively efficacious
sportlich	athletic
stinkig	stinky
aufgeschlossen	receptive, approachable, exposed, open-minded
verwundert	startled, astonished, wondering
salzig	salty
übersät	strewn, littered, studded
selbstständig	independent, standalone, autonomous (eigenständig, unabhängig, or ...'s_')
gesellig	sociable (gesellschaftlich, ... )
ungewiss	uncertain, unsure (unsicher, or ...)
ziellos	aimless, aimlessly, random
Köln	Cologne
kommend	imminent, impending, approaching, upcoming, coming
klebrig	sticky, tacky, gooey
zahlreich	numerous
gestreift	striped, streaked, striated
leblos	inanimate, lifeless
erheblich	considerable, substantial, significant, considerably, substantially, significantly ('e_')
fettig	greasy, fatty, oily
rutschig	slippery
lausig	lousy, shoddy, crummy, crappy
militärisch	military
elektronisch	electronic
überwiegend	predominant, predominantly, overwhelming, mainly, largely (ü_)
folgend	following, ensuing, subsequent, next (not 'anschließend')
befriedigend	satisfying, satisfactory
künstlerisch	artistic
Rumänien	Romania
gesellschaftlich	social, societal, socially (gesellig, ... )
selbstlos	unselfish, selfless
haarig	hairy
monatlich	monthly
fade	bland, dull, tasteless, tame (unexciting)
irisch	Irish (adj.)
langfristig	long-term, long range, in the long term
brünett	brunette
protzig	tacky, showy, swanky, flashy, gaudy
unvergesslich	memorable, haunting, unforgettable
traditionell	traditional, traditionally ('t_')
zeitlich	temporal, seasonal, temporary, chronological, time-wise
widerwillig	reluctant, reluctantly, unwillingly, grudgingly (W_)
zentral	pivotal, focal, central, center, key
namenlos	nameless
orientiert	oriented
einundzwanzig	twenty-one
beschränkt	limited, narrow (mind, views) ('b_')
friedlich	peaceful
essbar	edible
kompatibel	compatible
mütterlich	motherly, maternal
mittelgroß	medium, mid-size, of medium height
etliche	several, quite a few, a number of ('et_')
violett	violet
Christlich	Christian
weitgehend	extensive, widely, broadly, broad, largely
britisch	British
rostig	rusty
kuschelig	cozy, cuddly
gründlich	thorough, thoroughly, detailed, exhaustive (not 'durchaus')
unregelmäßig	erratic, irregular, intermittent, unsteady, sporadic
inbegriffen	implicit, included, implied
möbliert	furnished
lebenswichtig	essential, vital, of vital importance (not lebensnotwendig) (L_)
vorwiegend	predominant, mainly, prevalent, predominantly (überwiegend, or ...'V_')
historisch	historical
Serbien	Serbia
eisig	icy, frigid, chilling
komfortabel	comfortable ('k_')
pessimistisch	pessimistic
staatlich	public, state-run, government
kinderlos	childless
unkontrollierbar	uncontrollable
kindlich	childish, childlike, infantile (kindisch, or ...)
zensiert	1. marked, graded 2. censored
zwangsläufig	inevitable, unavoidable, necessarily ('z_')
stinklangweilig	extremely boring
regional	regional, local
jugendlich	youthful
suspekt	suspicious, suspect (s_)
unbewohnbar	uninhabitable, unlivable (Lebensunfäig, or ...)
nebst	with, along with, together with, in addition to, including
lauwarm	lukewarm
schwül	humid ('s_')
hörbar	audible (vernehmbar or ...)
farblos	colorless
spezifisch	unique, specific ('S_')
dumpf	dull, muffled, hollow (sound)
kulturell	cultural
tipptopp	tiptop (shape), shipshape, spick and span, not a hair out of place
versalzen	oversalted, to oversalt
europäisch	European (adj.)
schleimig	slimy
Kroatien	Croatia
bürgerlich	middle-class, bourgeois
ausländisch	foreign ('a_')
Skandinavien	Scandinavia
mütterlicherseits	on the mother's side, maternal
holländisch	Dutch (adj.)
preiswert	reasonably priced (not 'preisgünstig') ('p_')
insofern	insofar (as), provided (that) (not 'soweit')
lecker	delicious, tasty, yummy
drogensüchtig	drug-addicted, drug-dependent
Litauen	Lithuania
extravagant	extravagant
individuell	individual
vegetarisch	vegetarian (adj.)
mündlich	oral, orally, verbal, verbally
unzureichend	insufficient, inadequate (not 'mangelhaft')
gewaltig	enormous, vast, tremendous (not 'r...', 'e...')
sooft	as often (as needed), whenever (needed) (so oft wie, beliebig oft, or ...)
ausreichend	sufficient, adequate
schlaflos	sleepless
silbern	silver (adj.)
gottlos	godless
jahraus/ jahrein	year in, year out (reverses order)
rosarot	pinkish red, rosy
uneben	rough, uneven, bumpy, lumpy
euphorisch	euphoric
seidig	silky
würzig	spicy
modisch	fashionable, fancy, trendy, stylish
magersüchtig	anorexic
beständig	steady, constant, stable, lasting, firm
Tschechien	Czech Republic
fieberhaft	feverish, franctic, feverishly, frantically
lockig	curly
unschuldig	not guilty, innocent
abgeschlossen	concluded (agreement), completed (contract), finalized, closed
lieblos	unkind, careless, carelessly, loveless
verschwenderisch	wasteful
ökonomisch	economic, economical, economically
tödlich	deadly, fatal, lethal, mortal
mangelhaft	deficient, flawed, insufficient, inadequate
pflegeleicht	low maintenance, wash-n-wear, easy to care for
bewährt	well-tried, proven, tried and true, reliable, experienced
wechselhaft	variable, changing, alternating, erratic ('w_')
analog	analogous, analog, analogue
geometrisch	geometric
ADAC	Allgemeiner Deutscher Automobilclub
Schweizerisch	Swiss
hervorragend	excellent, outstanding, superb, stand out ('h_')
eingetragen	registered, listed, recorded, (sich) signed in, (sich) enrolled (one word)
knallrot	beet red, bright red
trinkbar	drinkable
einheitlich	consistent, coherent, uniform, unified, homogenous
schneeweiß	snow-white
stabil	stable, steady, sturdy
räumlich	spatial, spatially
kariert	checkered, plaid
väterlicherseits	on the father's side, paternal
Dänisch	Danish
australisch	Australian (adj.)
windstill	windless, calm
erklärbar	explicable, explainable
prominent	prominent
überregional	national, nationwide ('ü_')
nächst	next, next to, nearby
Estland	Estonia
nackt	bare, nude, naked, stripped
gering	slight, minor, slightly, small, scant
gesamt	entire, overall, comprehensive, whole, total
empirisch	empirical
intolerant	intolerant
formlos	informal, amorphous, informally, shapeless
Lettland	Latvia
mollig	plump, chubby, snug, cozy
veränderlich	changeable, versatile, shifting, fluctuating, variable ('variabel,' 'vielfältig," or 'v_')
vielfältig	Diverse, varied, versatile, multi-faceted, various ('v_')
kommunistisch	communist (adj.)
geographisch	geographic
väterlich	fatherly
verhalten (adj)	cautious, restrained, muted, subdued (adj)
glatzköpfig	bald headed, bald
schlüpfrig	elusive, salacious, slippery slick, risqué
wolkig	cloudy ('w_')
gegebenenfalls	if necessary, where appropriate, as the case may be
regnerisch	rainy
prächtig	superb, splendid, stately, magnificent ('p_')
dual	dual
umfassend	comprehensive, including, full, comprising, extensive ('u_')
wolkenlos	cloudless, clear (sky)
österreichisch	Austrian (adj.)
Liechtenstein	Liechtenstein
undefinierbar	indefinable
ehemalig	former, onetime
multikulturell	multicultural
haarlos	hairless
kanadisch	Canadian (adj.)
osteuropäisch	Eastern European (adj.)
bayerisch	Bavarian
beeindruckt	impressed
farbig	colored, in color, colorful
angesehen	respected, imminent, reputed, prestigious ('a_')
durchaus	quite, perfectly, completely, thoroughly, definitely, absolutely ('d_')
wässerig	watery, diluted
umfangreich	extensive, enormous, comprehensive
gebührenfrei	free, without charge (ge_)
sehenswert	worth seeing
voran	forth, ahead, before, at the head
feige	cowardly
preisgünstig	low-priced, economical, inexpensive (not 'preiswert') ('p_')
hügelig	hilly
belgisch	Belgian (adj.)
ätzend	irritating/ really annoying/ sucky [colloquial]
sandig	sandy
klassenlos	classless (society), without classes
momentan	momentary, present, for the moment, at the moment
buschig	bushy
passioniert	passionate
zukünftig	future, in the future
israelisch	Israeli (adj.)
mutterlos	motherless
fleischlos	meatless, fleshless, without meat
vaterlos	fatherless
interkulturell	intercultural
zweisprachig	bilingual
rezeptfrei	prescription-free, available over the counter (U.S.)
unkultiviert	unrefined, rude, uncultivated
imaginär	imaginary ('erfunden', eingebildet', or ...)
möglichst viel	as much as possible (so viel wie möglich or ... 'm~')
in Ordnung	in order (as it should be)
Guten Rutsch!	Happy New Year! (Frohes Neues Jahr or ...'G_')
Sie hat keine Ahnung.	She has no clue/idea
Tschüss!	Bye bye, so long ('T_')
Sie ist eine Nervtante.	She gets on my nerves. (2)
verwendbar	usable/ applicable
hier unten	down here
im Gegensatz zu	in contrast to
Verflixt!	Darn it!, dang! shoot! blimey, bloody
Sie wird einundzwanzig.	She's going to be twenty-one.
begründet	justified, founded, established
um ... zu ...	in order to ...
gut aussehend	good looking, attractive, handsome 2 parts ('g_')
im Voraus	beforehand, in advance, up front (i_) (2 part phrase)
Ich habe Hunger.	I'm hungry.
Es donnert.	It's thundering.
ungern	reluctantly, begrudgingly, unwillingly (not "unwillig', 'widerwillig')
pleite	broke, bankrupt, penniless (adj)
bei Nacht	at night, by night ('nachts' or ...)
Es macht mir Spaß.	It's fun to me. It's fun ('es_')
hoffentlich	hopefully
in der Praxis	in practice ('faktisch', 'in Wirklichkeit', or ...)
Ende Juli	the end of July
zweieinhalb	two and a half
sogenannt	so-called
sag mal	say, tell me
immer noch	still, yet, to this day
deutschsprachig	German-speaking
gleich um die Ecke	right around the corner
Igitt!	Yuck! ('pfui!' or ...)
Jahrelang	for years, for ages
spätestens	at the latest, no later than
Vorsicht!	Be careful!, watch out! ('V_')
sämtlich	altogether, all, complete (set of sth)
neuseeländisch	New Zealand (adj.)
anonym	anonymous, anonymously
vergleichbar	comparable, similar (not 'gleichermaßen')
Gesundheit!	Bless you!
Du hast Recht.	You're right. ('Da haben Sie recht' or ...) (familiar du form)
im Moment	at the moment, for the moment
zum ersten Mal	for the first time
rezeptpflichtig	available on prescription (drug), requiring a prescription (adj.)
südlich (von)	south (of)
gewidmet	dedicated, devoted, given
zum einen	for one thing, for one, on the one hand, for a start
wurmig	wormy
demnach	thus, so, hence, according to this ('d_')
eine Stunde lang	one hour long
vorn(e)	at the front
dabei	thereby, at that point, as well, with it, in the process, at the same time (not 'damit')
ein Stück Kuchen	a piece of cake
Es kommt darauf an ...	It depends on ...
Toll!	Great! Cool! ('T_')
solch ein	such a
nützlich	useful
jemand anders	somebody else
von unten	from below, underarm (pitch/throw, in baseball) from the bottom (up),
außer Betrieb	out of order
unter vier Augen	in private, face to face, between you and me
fett gedruckt	in bold type
gnadenlos	merciless, mercilessly, pitiless, ruthless, unforgiving
im Erdgeschoss	on the first (ground) floor
wir kommen zu viert	the four of us are coming
westlich (von)	west (of)
zehn Uhr	ten o'clock
stumpf	blunt, dull, lackluster, tarnished
ehrgeizig	ambitious, driven, ambitiously
Servus!	Hi! or Bye! (heard in Austria and Bavaria) ('S_')
Liebe Grüße	Love (closing of a letter)
bereits	already, as early as, even (even a little helps) ('b_')
Wie geht es Ihnen?	How are you? (formal)
Guten Appetit!	Enjoy your meal!
entweder ... oder ...	either ... or ...
rein	pure, sheer, purely, mere, clean
am schwarzen Brett	on the bulletin board
eine Alleinerziehende Mutter	a single mother
Ich habe es satt.	I'm sick of it. I'm fed up with it. ('Ich_')
um die Ecke	around the corner
vermeintlich	allegedly, alleged, supposed, reputed, perceived ('v_')
rund um	round, around (the clock care, service) (2 part phrase)
Wann bist du geboren?	When were you born? ('du" form)
woran	whereof, of which, by which, on what
daheim	home, at home ('d_')
zwar ... aber ...	it's true that ... but ...
infolge	as a result of, due to
bis dahin	until then, up until then
zuständig	responsible (agency), competent (authority), relevant (authority)
überhaupt nichts	absolutely nothing, nothing at all ('ü_')
Christus	Christ
ein bisschen	a little bit, a little, a bit
beträchtlich	considerably, considerable, substantial, sizable ('b_')
bemerkenswert	remarkable, notable, noticeable, exceptional ('b_')
echt spitze	really great
zahllos	countless, innumerable
nächstes Jahr	next year
Mitte April	(in) the middle of April
bei uns	at our house, at our place
sprachlich	linguistic, linguistically
nicht mal	not even ('n_')
gar nicht	not at all, not a bit ('g_')
Herr Ober!	Waiter! ('H_')
es gibt	there is/are
anscheinend	apparently, seemingly, apparent ('a_')
Herzliche Grüße	Kind regards ('H_')
stark reduziert	sharply reduced
Euch ist nicht bewusst ...	You guys don't realise ...
unterirdisch	underground, subterranean, abysmal (really bad)
auf dem Land	in the country
unübersetzbar	untranslatable
ins Konzert	(go) to a concert
in der Mitte	in the middle
illegal	illegal
zu Weihnachten	for Christmas
keinerlei	no (bread, cheese) whatsoever, no (movies, plays) at all (one word) ('k_')
Verzeihung!	Sorry! Pardon! Excuse me! ('V_')
willkommen	welcome
Gute Nacht!	Good night!
